"Morbidity","ICD-10","Percent Affected"
"Other symptoms and signs involving cognitive functions and awareness","R41","28.3"
"Problems related to living alone","Z60.2","51.2"
"Post-traumatic stress disorder (PTSD)","F43.1","18.5"
"Malignant neoplasm without specification of site","C80","31.7"
"Other chronic obstructive pulmonary disease","J44","11.3"
"Diabetes mellitus due to underlying condition","E08","34.2"
"Essential (primary) hypertension","I10","70.2"
"Other and unspecified hearing loss","H91","14.1"
"Chronic ischemic heart disease","I25","33.3"
"Major depressive disorder, recurrent","F33","16"
